source,tag,comparison,radius,metric_type,threshold,window,pca_group,dtw_score
RSV,,Active Cases,50,Network Density,0.4,15,,51.471924361678155
,,Active Cases,50,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,51.49939564054066
,,Confirmed Cases,30,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,51.50532887402456
,,Confirmed Cases,50,Network Density,0.8,15day,MSVSymptoms-0.5,51.53736263736277
RSV,,Active Cases,15,Network Density,0.5,30,,51.53754306934901
,,Confirmed Cases,7,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,51.58410256410259
,,Active Cases,30,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,51.61956470808739
,,Confirmed Cases,15,Network Density,0.6,15day,MSVSymptoms-0.5,51.64871794871796
MSV,,Confirmed Cases,15,Network Density,0.8,15,,51.68666666666678
,,Active Cases,30,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,51.849968588298985
RSV,,Active Cases,50,Clustering Coefficient,0.4,15,,51.88060377097611
,,Confirmed Cases,30,Network Density,0.4,30day,MSVSymptoms-0.5,51.94641025641018
,,Confirmed Cases,7,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,51.98012820512831
,,Confirmed Cases,15,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,52.10025641025644
MSV,,Confirmed Cases,15,Clustering Coefficient,0.4,30,,52.11871017871016
MSV,,Confirmed Cases,15,Network Density,0.5,15,,52.20039215686276
,,Confirmed Cases,15,Network Density,0.5,30day,MSVSymptoms-0.5,52.247179487179466
,,Confirmed Cases,15,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,52.29743589743593
,,Confirmed Cases,20,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,52.29897435897438
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,52.341538461538654
,,Confirmed Cases,50,Clustering Coefficient,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,52.34435897435897
,,Confirmed Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,52.351040723981896
,,Active Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,52.39178949623132
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,52.47794871794902
,,Confirmed Cases,30,Clustering Coefficient,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,52.50201465201478
RSV,lagnat,Confirmed Cases,50,,,,,52.50717540620364
,,Active Cases,50,Network Density,0.5,30day,MSVSymptoms-0.5,52.508237278605506
,,Active Cases,50,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,52.56023080030947
,,Active Cases,20,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,52.56709774154247
,,Confirmed Cases,20,Clustering Coefficient,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,52.5783150183151
RSV,,Confirmed Cases,30,Network Density,0.8,30,,52.612307692307766
RSV,,Confirmed Cases,15,Clustering Coefficient,0.4,30,,52.61713976164687
,,Confirmed Cases,15,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,52.64256410256415
,,Confirmed Cases,7,Clustering Coefficient,0.6,15day,RSVFaceWearing&Others-0.5,52.65410256410258
,,Confirmed Cases,50,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,52.655967365967385
,,Active Cases,50,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,52.68338827797928
RSV,,Confirmed Cases,20,Clustering Coefficient,0.5,30,,52.74854700854713
,,Confirmed Cases,20,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,52.75384615384618
,,Confirmed Cases,15,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,52.75871794871806
,,Confirmed Cases,20,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols-0.5,52.80641025641041
,,Confirmed Cases,15,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,52.81230769230774
,,Confirmed Cases,7,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,52.90000000000001
RSV,,Confirmed Cases,50,Network Density,0.4,15,,52.90188644688639
RSV,,Active Cases,50,Network Density,0.4,30,,52.93106045861182
,,Confirmed Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,52.9389743589743
,,Confirmed Cases,20,Network Density,0.4,30day,MSVSymptoms-0.5,53.03641025641024
,,Confirmed Cases,15,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols-0.5,53.063076923076906
,,Confirmed Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,53.11205128205128
MSV,,Confirmed Cases,30,Clustering Coefficient,0.6,15,,53.120075973409485
MSV,,Confirmed Cases,7,Network Density,0.6,30,,53.33205128205125
,,Confirmed Cases,7,Network Density,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,53.366037296037334
,,Active Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.3885249742292
,,Active Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.3885249742292
,,Confirmed Cases,7,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,53.393846153846155
MSV,,Confirmed Cases,30,Clustering Coefficient,0.5,30,,53.403207744636426
RSV,,Confirmed Cases,15,Clustering Coefficient,0.6,15,,53.40645229087866
RSV,,Active Cases,30,Network Density,0.4,15,,53.41525703565931
RSV,work from home,Active Cases,50,,,,,53.435230381644885
,,Active Cases,30,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.450271764595655
MSV,,Confirmed Cases,7,Network Density,0.8,30,,53.543333333333365
,,Confirmed Cases,15,Network Density,0.4,30day,MSVSymptoms-0.5,53.57384615384617
MSV,,Confirmed Cases,50,Network Density,0.4,30,,53.59494068120934
,,Active Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,53.6249937984752
,,Confirmed Cases,50,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,53.62871794871808
RSV,,Active Cases,20,Network Density,0.6,15,,53.65032164684893
RSV,,Confirmed Cases,20,Clustering Coefficient,0.6,30,,53.65705128205138
MSV,,Confirmed Cases,7,Clustering Coefficient,0.5,15,,53.67297359357069
,,Confirmed Cases,50,Network Density,0.8,15day,RSVSymptoms&NewNormalProtocols1-0.6,53.675641025641184
RSV,,Active Cases,15,Network Density,0.5,15,,53.68582307881284
,,Confirmed Cases,15,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,53.71435897435894
,,Active Cases,50,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,53.71723362384035
,,Confirmed Cases,15,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,53.73743589743589
,,Confirmed Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.753846153846105
RSV,lagnat,Confirmed Cases,30,,,,,53.78562703402462
,,Active Cases,20,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,53.82199432744481
MSV,,Confirmed Cases,30,Network Density,0.4,30,,53.853524684270894
,,Confirmed Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,53.85641025641023
,,Active Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,53.88625714553461
,,Confirmed Cases,7,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,54.04256410256416
,,Confirmed Cases,30,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,54.063589743589695
,,Active Cases,50,Network Density,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,54.06473151532188
MSV,,Confirmed Cases,50,Clustering Coefficient,0.6,30,,54.093223443223685
,,Confirmed Cases,7,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols2-0.6,54.09435897435899
,,Confirmed Cases,15,Clustering Coefficient,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,54.10047619047627
RSV,,Confirmed Cases,50,Network Density,0.4,30,,54.16461538461536
RSV,fever,Active Cases,50,,,,,54.18801191067813
MSV,,Confirmed Cases,20,Network Density,0.4,30,,54.206988136241854
RSV,face shield,Active Cases,30,,,,,54.20779724430838
RSV,ecq,Confirmed Cases,15,,,,,54.24113073466924
,,Active Cases,30,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,54.2821612286069
,,Confirmed Cases,15,Network Density,0.8,30day,MSVSymptoms-0.5,54.28743589743594
,,Confirmed Cases,7,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,54.310854700854705
MSV,,Active Cases,50,Network Density,0.4,15,,54.36058462959067
,,Active Cases,50,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,54.39349639209065
,,Confirmed Cases,15,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,54.429230769230834
,,Confirmed Cases,7,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,54.44307692307694
,,Confirmed Cases,15,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols-0.5,54.45205128205141
,,Active Cases,50,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,54.583544185174766
,,Confirmed Cases,7,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,54.586153846153934
,,Confirmed Cases,20,Clustering Coefficient,0.5,15day,MSVSymptoms-0.5,54.60974358974358
,,Active Cases,15,Network Density,0.6,30day,RSVFaceWearing&Others-0.5,54.61922500234279
,,Confirmed Cases,30,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,54.67564102564103
,,Active Cases,50,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,54.67657006449242
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,54.708717948717954
,,Active Cases,50,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,54.72696359960914
RSV,,Confirmed Cases,15,Clustering Coefficient,0.5,30,,54.72837606837616
,,Active Cases,20,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,54.76720785305979
MSV,,Confirmed Cases,15,Network Density,0.4,30,,54.80523536165329
RSV,work from home,Confirmed Cases,50,,,,,54.86831213892236
,,Active Cases,30,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,54.97802443218618
,,Active Cases,30,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,55.010269724982976
,,Confirmed Cases,7,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,55.02230769230772
,,Confirmed Cases,20,Clustering Coefficient,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,55.06633699633713
MSV,,Confirmed Cases,20,Clustering Coefficient,0.5,30,,55.091522762951406
,,Active Cases,50,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,55.12825036663168
,,Confirmed Cases,20,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,55.14333333333327
,,Confirmed Cases,30,Network Density,0.8,15day,MSVSymptoms-0.5,55.17963369963379
RSV,,Confirmed Cases,20,Network Density,0.8,30,,55.18923076923079
RSV,social distancing,Confirmed Cases,50,,,,,55.21601059336957
,,Confirmed Cases,7,Network Density,0.8,15day,MSVSymptoms&NewNormalProtocols-0.6,55.237692307692285
RSV,,Active Cases,30,Clustering Coefficient,0.4,15,,55.23972246920357
,,Active Cases,15,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,55.27220972729826
,,Active Cases,7,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols2-0.6,55.2793853836164
,,Confirmed Cases,20,Network Density,0.6,30day,MSVSymptoms-0.5,55.38606837606839
,,Active Cases,30,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,55.4537063068129
,,Confirmed Cases,7,Network Density,0.4,30day,MSVSymptoms-0.5,55.47589743589747
RSV,lagnat,Confirmed Cases,20,,,,,55.541021302706774
,,Active Cases,50,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,55.55023896542036
,,Confirmed Cases,7,Network Density,0.6,15day,MSVSymptoms-0.5,55.61076923076919
,,Confirmed Cases,50,Network Density,0.8,15day,RSVSymptoms&NewNormalProtocols-0.5,55.6756410256412
,,Confirmed Cases,30,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,55.701282051282035
RSV,,Confirmed Cases,15,Clustering Coefficient,0.6,30,,55.71935897435904
,,Confirmed Cases,50,Clustering Coefficient,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,55.769743589743726
,,Confirmed Cases,7,Network Density,0.5,15day,MSVSymptoms-0.5,55.78205128205124
,,Confirmed Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,55.841025641025574
RSV,Quarantine,Confirmed Cases,30,,,,,55.86079264209404
RSV,,Active Cases,30,Network Density,0.4,30,,55.8648746062297
,,Active Cases,20,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,55.867334840965505
,,Active Cases,30,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols2-0.6,55.89023010325242
MSV,,Active Cases,50,Network Density,0.6,15,,55.899687745534834
RSV,ubo,Confirmed Cases,50,,,,,55.9046266134883
,,Confirmed Cases,20,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,55.94820512820521
MSV,,Confirmed Cases,20,Clustering Coefficient,0.6,15,,55.95577397910745
MSV,,Active Cases,50,Network Density,0.5,15,,55.95719835156968
MSV,,Confirmed Cases,50,Network Density,0.4,15,,55.9621611721612
RSV,,Confirmed Cases,7,Network Density,0.5,15,,55.9966666666666
,,Confirmed Cases,7,Clustering Coefficient,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,56.02428571428573
,,Confirmed Cases,7,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,56.066410256410315
MSV,,Confirmed Cases,15,Clustering Coefficient,0.5,30,,56.106405023547936
,,Confirmed Cases,50,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,56.12435897435897
,,Confirmed Cases,30,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,56.12435897435897
,,Confirmed Cases,15,Clustering Coefficient,0.5,15day,MSVSymptoms-0.5,56.16000000000003
MSV,,Confirmed Cases,30,Clustering Coefficient,0.6,30,,56.19917844060715
MSV,,Active Cases,50,Clustering Coefficient,0.4,15,,56.19927424690326
,,Confirmed Cases,50,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols-0.5,56.203076923076985
,,Confirmed Cases,15,Clustering Coefficient,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,56.25384615384625
RSV,,Active Cases,15,Network Density,0.6,15,,56.34301304772757
,,Active Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,56.371825508387275
,,Confirmed Cases,15,Clustering Coefficient,0.4,30day,MSVFaceWearing&Others-0.5,56.39435897435892
RSV,,Confirmed Cases,7,Clustering Coefficient,0.4,30,,56.49733116648618
,,Confirmed Cases,50,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,56.50501831501825
MSV,,Confirmed Cases,7,Network Density,0.5,15,,56.54594268476627
,,Active Cases,20,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,56.5629369318714
RSV,,Confirmed Cases,15,Network Density,0.8,30,,56.56974358974362
,,Confirmed Cases,20,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,56.64282051282051
,,Confirmed Cases,30,Clustering Coefficient,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,56.658461538461616
RSV,,Confirmed Cases,50,Clustering Coefficient,0.8,15,,56.65993589743628
,,Confirmed Cases,7,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,56.74025641025644
MSV,,Confirmed Cases,7,Network Density,0.4,30,,56.75011863758134
,,Confirmed Cases,20,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,56.79732441471575
MSV,,Active Cases,50,Network Density,0.5,30,,56.82575129840341
RSV,lagnat,Confirmed Cases,15,,,,,56.86538153091066
MSV,,Confirmed Cases,7,Network Density,0.8,15,,56.87153846153849
RSV,,Active Cases,20,Network Density,0.4,15,,56.89092534751587
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols-0.5,56.89410256410272
,,Confirmed Cases,20,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,56.89666666666667
,,Confirmed Cases,7,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,56.90564102564102
MSV,,Confirmed Cases,30,Network Density,0.4,15,,56.91763997906853
,,Confirmed Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,56.91885369532432
,,Active Cases,50,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,57.08755037016206
,,Active Cases,50,Network Density,0.4,30day,MSVSymptoms-0.5,57.117945834504816
,,Confirmed Cases,50,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,57.15685897435898
,,Active Cases,15,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,57.17724440071232
MSV,,Active Cases,50,Network Density,0.4,30,,57.19123143070145
,,Confirmed Cases,15,Network Density,0.6,30day,MSVSymptoms-0.5,57.19282051282054
,,Active Cases,50,Network Density,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,57.19362538380548
,,Active Cases,50,Clustering Coefficient,0.4,15day,MSVSymptoms-0.5,57.24925519798118
,,Active Cases,50,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,57.26302595820465
,,Confirmed Cases,20,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,57.35871794871789
MSV,,Confirmed Cases,7,Clustering Coefficient,0.4,30,,57.36123543123542
,,Confirmed Cases,50,Clustering Coefficient,0.6,15day,MSVSymptoms-0.5,57.36589743589758
,,Active Cases,50,Clustering Coefficient,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,57.39696373348321
,,Confirmed Cases,30,Clustering Coefficient,0.6,30day,MSVSymptoms&NewNormalProtocols-0.6,57.40846153846154
MSV,,Confirmed Cases,50,Clustering Coefficient,0.8,15,,57.424358974359365
MSV,,Confirmed Cases,15,Clustering Coefficient,0.6,15,,57.4294301994303
,,Active Cases,15,Clustering Coefficient,0.4,15day,RSVFaceWearing&Others-0.5,57.45553208120232
RSV,,Confirmed Cases,7,Clustering Coefficient,0.5,30,,57.50940170940174
,,Confirmed Cases,20,Network Density,0.8,15day,MSVSymptoms-0.5,57.57139194139197
MSV,,Confirmed Cases,20,Clustering Coefficient,0.6,30,,57.60120879120888
RSV,,Active Cases,30,Network Density,0.6,30,,57.62868990722509
,,Active Cases,50,Network Density,0.5,15day,MSVSymptoms-0.5,57.67859168769682
,,Confirmed Cases,15,Network Density,0.8,30day,MSVSymptoms&NewNormalProtocols-0.6,57.69974358974357
RSV,,Active Cases,7,Network Density,0.5,30,,57.70180319187182
,,Confirmed Cases,7,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols-0.5,57.73717948717954
,,Active Cases,30,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,57.75250679411488
,,Confirmed Cases,30,Network Density,0.8,15day,RSVSymptoms&NewNormalProtocols1-0.6,57.83230769230775
RSV,ubo,Confirmed Cases,30,,,,,57.86360296401485
,,Confirmed Cases,7,Network Density,0.5,30day,MSVSymptoms-0.5,57.88358974358972
,,Active Cases,50,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,57.9086074407272
,,Active Cases,50,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,57.917402305313416
,,Confirmed Cases,7,Clustering Coefficient,0.5,30day,MSVSymptoms-0.5,57.95512820512821
,,Active Cases,30,Network Density,0.6,15day,RSVFaceWearing&Others-0.5,57.957895050286226
MSV,,Confirmed Cases,7,Clustering Coefficient,0.5,30,,58.025923600209346
,,Confirmed Cases,15,Clustering Coefficient,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,58.03051282051289
RSV,,Confirmed Cases,30,Network Density,0.4,15,,58.04336996337001
,,Active Cases,30,Network Density,0.4,15day,RSVFaceWearing&Others-0.5,58.05180114791063
,,Active Cases,30,Clustering Coefficient,0.4,15day,MSVFaceWearing&Others-0.5,58.07142059539505
,,Confirmed Cases,7,Clustering Coefficient,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,58.07179487179487
,,Confirmed Cases,7,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols2-0.6,58.15230769230768
,,Confirmed Cases,50,Clustering Coefficient,0.4,30day,RSVFaceWearing&Others-0.5,58.21615384615383
,,Confirmed Cases,7,Clustering Coefficient,0.6,15day,MSVSymptoms&NewNormalProtocols-0.6,58.229487179487215
,,Confirmed Cases,7,Network Density,0.8,30day,MSVSymptoms-0.5,58.26384615384616
,,Confirmed Cases,15,Clustering Coefficient,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,58.289230769230784
,,Active Cases,20,Network Density,0.5,15day,RSVFaceWearing&Others-0.5,58.341256773465226
RSV,,Confirmed Cases,7,Clustering Coefficient,0.6,15,,58.37499789827666
,,Confirmed Cases,20,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,58.38256410256409
,,Confirmed Cases,30,Network Density,0.4,30day,MSVFaceWearing&Others-0.5,58.51912087912082
,,Active Cases,50,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,58.544051633651215
,,Confirmed Cases,50,Clustering Coefficient,0.5,15day,MSVFaceWearing&Others-0.5,58.546666666666695
MSV,,Confirmed Cases,15,Clustering Coefficient,0.6,30,,58.55996336996344
,,Active Cases,20,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,58.56564934098454
,,Confirmed Cases,50,Network Density,0.5,15day,MSVSymptoms&NewNormalProtocols-0.6,58.58256410256414
RSV,Frontliners,Confirmed Cases,50,,,,,58.591847557177125
RSV,,Active Cases,15,Network Density,0.4,15,,58.60031058674901
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,RSVFaceWearing&Others-0.5,58.62256410256412
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,RSVFaceWearing&Others-0.5,58.62256410256412
RSV,Quarantine,Confirmed Cases,20,,,,,58.62412862181695
MSV,,Confirmed Cases,20,Network Density,0.4,15,,58.63221350078495
,,Confirmed Cases,7,Network Density,0.5,30day,MSVFaceWearing&Others-0.5,58.63461538461535
,,Confirmed Cases,15,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols1-0.6,58.66205128205126
RSV,,Confirmed Cases,7,Clustering Coefficient,0.6,30,,58.69384615384622
MSV,Quarantine,Active Cases,50,,,,,58.71024870231266
,,Active Cases,30,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,58.73599006653553
,,Active Cases,50,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,58.73599006653553
,,Confirmed Cases,20,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,58.743076923076906
,,Confirmed Cases,20,Clustering Coefficient,0.5,30day,RSVFaceWearing&Others-0.5,58.80717948717951
,,Confirmed Cases,30,Clustering Coefficient,0.6,15day,MSVSymptoms-0.5,58.81717948717956
,,Confirmed Cases,15,Network Density,0.8,15day,MSVSymptoms-0.5,58.82150183150185
RSV,ecq,Confirmed Cases,7,,,,,58.82503049608364
RSV,,Active Cases,20,Network Density,0.4,30,,58.85044116692975
RSV,,Confirmed Cases,30,Network Density,0.4,30,,58.856666666666655
,,Active Cases,20,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,58.85897678515244
,,Active Cases,20,Network Density,0.5,30day,RSVFaceWearing&Others-0.5,58.878455627401415
,,Confirmed Cases,30,Clustering Coefficient,0.6,30day,RSVSymptoms&NewNormalProtocols1-0.6,58.92923076923084
RSV,,Active Cases,20,Clustering Coefficient,0.4,15,,58.99566007946245
MSV,,Active Cases,30,Clustering Coefficient,0.4,15,,59.04153013682715
,,Confirmed Cases,30,Clustering Coefficient,0.5,30day,MSVFaceWearing&Others-0.5,59.041794871794856
,,Confirmed Cases,50,Clustering Coefficient,0.5,30day,MSVFaceWearing&Others-0.5,59.041794871794856
,,Confirmed Cases,15,Clustering Coefficient,0.5,30day,MSVFaceWearing&Others-0.5,59.041794871794856
,,Confirmed Cases,20,Clustering Coefficient,0.5,30day,MSVFaceWearing&Others-0.5,59.041794871794856
,,Active Cases,30,Network Density,0.4,30day,MSVSymptoms-0.5,59.052286571080515
RSV,,Confirmed Cases,30,Clustering Coefficient,0.8,15,,59.08083333333352
,,Confirmed Cases,7,Clustering Coefficient,0.4,30day,MSVSymptoms-0.5,59.10051282051278
,,Active Cases,50,Network Density,0.6,15day,RSVSymptoms&NewNormalProtocols1-0.6,59.10455423543343
,,Confirmed Cases,7,Clustering Coefficient,0.5,30day,MSVFaceWearing&Others-0.5,59.10589743589741
,,Confirmed Cases,15,Network Density,0.6,30day,MSVFaceWearing&Others-0.5,59.1405128205128
,,Confirmed Cases,15,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,59.19560758082497
RSV,ubo,Confirmed Cases,20,,,,,59.19707815204843
MSV,,Active Cases,30,Network Density,0.4,15,,59.210843941837744
,,Active Cases,30,Clustering Coefficient,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,59.21380023970643
RSV,sipon,Confirmed Cases,50,,,,,59.244365351887346
,,Confirmed Cases,30,Clustering Coefficient,0.4,30day,RSVFaceWearing&Others-0.5,59.30230769230765
,,Confirmed Cases,30,Network Density,0.8,15day,RSVSymptoms&NewNormalProtocols-0.5,59.30743589743595
,,Confirmed Cases,15,Clustering Coefficient,0.5,30day,RSVFaceWearing&Others-0.5,59.32615384615386
RSV,social distancing,Confirmed Cases,30,,,,,59.334205047018926
,,Active Cases,15,Network Density,0.4,15day,RSVSymptoms&NewNormalProtocols2-0.6,59.33633629842962
RSV,cough,Active Cases,50,,,,,59.35678692387933
,,Confirmed Cases,50,Network Density,0.8,30day,RSVSymptoms&NewNormalProtocols-0.5,59.36786324786338
,,Active Cases,50,Clustering Coefficient,0.4,15day,RSVSymptoms&NewNormalProtocols-0.5,59.38316993099128
,,Confirmed Cases,50,Network Density,0.8,15day,MSVFaceWearing&Others-0.5,59.38999999999998
,,Active Cases,20,Network Density,0.5,30day,MSVSymptoms&NewNormalProtocols-0.6,59.4445975072627
,,Confirmed Cases,50,Clustering Coefficient,0.6,30day,RSVSymptoms&NewNormalProtocols-0.5,59.456923076923225
,,Active Cases,20,Network Density,0.6,30day,RSVSymptoms&NewNormalProtocols2-0.6,59.462726080029974
,,Active Cases,15,Network Density,0.5,30day,RSVSymptoms&NewNormalProtocols1-0.6,59.49567519445221
,,Confirmed Cases,15,Network Density,0.5,15day,RSVSymptoms&NewNormalProtocols1-0.6,59.532564102564045
MSV,,Active Cases,30,Network Density,0.5,15,,59.563462859740234
,,Confirmed Cases,15,Network Density,0.4,30day,RSVSymptoms&NewNormalProtocols-0.5,59.56742081447968
,,Active Cases,50,Network Density,0.4,15day,MSVSymptoms&NewNormalProtocols-0.6,59.57856372302935
,,Confirmed Cases,30,Network Density,0.4,30day,RSVFaceWearing&Others-0.5,59.61538461538467
,,Confirmed Cases,7,Clustering Coefficient,0.4,30day,MSVSymptoms&NewNormalProtocols-0.6,59.62219780219783
